,Iteration,Best_SP,Temperature,TimeElapsed
0,0,3510395,,0.0
1,1,3510395,,0.3987723999999986
2,2,3510395,,0.3932941999999997
3,3,3504545,,0.40216290000000754
4,4,3497775,,0.40121589999999685
5,5,3497775,,0.40261350000000107
6,6,3497775,,0.3958958999999993
7,7,3497775,,0.40459069999999997
8,8,3497772,,0.40220350000001304
9,9,3497772,,0.3999219000000096
10,10,3497772,,0.39578459999999893
11,11,3497772,,0.40141729999999143
12,12,3497772,,0.4050229999999999
13,13,3497772,,0.4022791000000012
14,14,3497772,,0.3986512999999974
15,15,3497772,,0.3998490999999973
16,16,3495672,,0.40706240000000093
17,17,3495672,,0.40468740000000025
18,18,3495672,,0.4072864000000038
19,19,3495672,,0.41955199999999593
20,20,3495672,,0.4029616000000118
21,21,3488747,,0.4133692999999994
22,22,3488747,,0.40473389999999654
23,23,3488747,,0.4045538000000022
24,24,3479712,,0.4081800999999956
25,25,3475515,,0.4112712999999957
26,26,3463060,,0.4062441000000092
27,27,3463060,,0.404687899999999
28,28,3462643,,0.4032436999999902
29,29,3456341,,0.40448539999999866
30,30,3456341,,0.4105173000000093
31,31,3450081,,0.41553060000001096
32,32,3450081,,0.40329410000001076
33,33,3441751,,0.40438510000001315
34,34,3441751,,0.4101522999999929
35,35,3441751,,0.4089816999999982
36,36,3434966,,0.4151080000000036
37,37,3422741,,0.3991618000000017
38,38,3415718,,0.4055403999999925
39,39,3415718,,0.4062186999999966
40,40,3415713,,0.41157090000000096
41,41,3415713,,0.3971906999999959
42,42,3399196,,0.4038280000000043
43,43,3386731,,0.39928139999999246
44,44,3386731,,0.4121397999999914
45,45,3386731,,0.4127901999999892
46,46,3386731,,0.41462799999999334
47,47,3381131,,0.4142265999999921
48,48,3362221,,0.4085831000000013
49,49,3362221,,0.41199070000000404
50,50,3358793,,0.4138973999999962
51,51,3355543,,0.41349400000000003
52,52,3355543,,0.4057650000000024
53,53,3350063,,0.3999139000000014
54,54,3350063,,0.4128460000000018
55,55,3347255,,0.4024688000000083
56,56,3345295,,0.40758929999999793
57,57,3345295,,0.4075500999999946
58,58,3345295,,0.4116029999999995
59,59,3330945,,0.417280599999998
60,60,3330945,,0.4123132999999939
61,61,3330945,,0.40908600000000206
62,62,3330868,,0.4953270000000032
63,63,3316375,,0.45867020000000025
64,64,3316375,,0.46495459999999866
65,65,3309565,,0.45905550000000517
66,66,3309565,,0.436337199999997
67,67,3309565,,0.4225645000000071
68,68,3309565,,0.4189571000000001
69,69,3309565,,0.4499405999999908
70,70,3300255,,0.41431330000000344
71,71,3300255,,0.4134112999999928
72,72,3288708,,0.4349859000000009
73,73,3288708,,0.4374885000000006
74,74,3288708,,0.45626210000000356
75,75,3288708,,0.4291240000000016
76,76,3277653,,0.43405409999999733
77,77,3277653,,0.47773639999999773
78,78,3272698,,0.42661700000000735
79,79,3270531,,0.4432742999999988
80,80,3270531,,0.4503476999999947
81,81,3267556,,0.497372900000002
82,82,3267556,,0.42837049999999977
83,83,3267556,,0.43970509999999763
84,84,3267556,,0.43909379999999487
85,85,3267556,,0.41258139999999344
86,86,3267416,,0.43369200000000774
87,87,3267296,,0.42658319999999605
88,88,3267296,,0.4478353000000084
89,89,3267296,,0.44925570000000903
90,90,3260371,,0.4237490999999949
91,91,3234673,,0.4593902000000014
92,92,3234673,,0.46202800000000366
93,93,3234673,,0.44379510000000266
94,94,3229916,,0.4530871999999988
95,95,3229916,,0.4612948999999986
96,96,3229916,,0.44272399999999834
97,97,3229916,,0.45214450000000284
98,98,3229916,,0.4566139000000078
99,99,3229916,,0.46253499999998837
100,100,3229916,,0.4447063000000071
101,101,3226115,,0.4372848000000005
102,102,3226115,,0.4779764999999969
103,103,3226115,,0.43061170000000004
104,104,3195812,,0.45851010000001224
105,105,3195812,,0.41551909999999737
106,106,3194852,,0.4442873000000134
107,107,3186735,,0.45149449999999547
108,108,3186735,,0.4208272999999991
109,109,3181335,,0.42515240000000176
110,110,3181335,,0.4256955999999974
111,111,3181335,,0.4170479
112,112,3181331,,0.4459901999999971
113,113,3174751,,0.4222197999999935
114,114,3174751,,0.4232467000000071
115,115,3174751,,0.42327059999999506
116,116,3158724,,0.4955961000000002
117,117,3158724,,0.46491469999999424
118,118,3158724,,0.4691560999999922
119,119,3158724,,0.4648864000000117
120,120,3158724,,0.4640274000000062
121,121,3156614,,0.47510549999999796
122,122,3156614,,0.4639438000000098
123,123,3156614,,0.47392659999999864
124,124,3147729,,0.43726689999999735
125,125,3147729,,0.4501089000000036
126,126,3147729,,0.4739506000000091
127,127,3147729,,0.5099684999999994
128,128,3139043,,0.5058913999999959
129,129,3139043,,0.4637409000000048
130,130,3132413,,0.4589313999999973
131,131,3113303,,0.44443539999998904
132,132,3113303,,0.43989889999998866
133,133,3110706,,0.4287284999999912
134,134,3110706,,0.446005999999997
135,135,3104121,,0.44405279999999436
136,136,3104121,,0.4446456000000012
137,137,3104121,,0.41870600000000024
138,138,3104121,,0.4334984999999989
139,139,3104121,,0.41595910000000913
140,140,3104121,,0.4471764000000036
141,141,3104121,,0.4376218000000023
142,142,3104121,,0.43052219999999863
143,143,3082201,,0.4542046000000113
144,144,3081737,,0.43285740000000317
145,145,3081737,,0.4290301999999997
146,146,3081737,,0.42579050000000507
147,147,3081737,,0.4189973000000009
148,148,3081737,,0.4295745000000011
149,149,3081737,,0.4296001999999959
150,150,3081737,,0.419183199999992
151,151,3081737,,0.4211189000000104
152,152,3081737,,0.41700140000000374
153,153,3081737,,0.4149904999999876
