,Iteration,Best_SP,Temperature,TimeElapsed
0,0,3497724,100.0,0.0
1,1,3496124,94.33962264150944,1.7975895000000008
2,2,3496124,89.28571428571429,1.2932786000000007
3,3,3491272,84.74576271186442,1.5183845999999974
4,4,3478675,80.64516129032258,1.163252700000001
5,5,3478675,76.92307692307692,1.3833573000000001
6,6,3474545,73.52941176470587,2.0182176
7,7,3468035,70.42253521126759,2.0577189999999987
8,8,3458465,67.56756756756755,1.8398499999999984
9,9,3448945,64.93506493506491,1.609107899999998
10,10,3429865,62.499999999999986,2.169556
11,11,3418665,60.24096385542167,1.7047740000000005
12,12,3418665,58.13953488372091,1.7912040000000005
13,13,3418665,56.17977528089886,1.874564399999997
14,14,3418665,54.3478260869565,2.0551471999999933
15,15,3418665,52.6315789473684,2.1666779999999903
16,16,3418665,51.02040816326529,2.0356364999999954
17,17,3418665,49.50495049504949,2.0149423000000013
18,18,3418665,48.076923076923066,2.1988470999999947
19,19,3418665,46.72897196261682,1.7804241000000047
20,20,3418665,45.45454545454545,1.7223207999999914
21,21,3418665,44.24778761061947,1.8638997999999987
22,22,3418665,43.103448275862064,1.7594324000000086
23,23,3418665,42.01680672268907,1.8987027999999952
24,24,3418665,40.983606557377044,1.8111291999999963
25,25,3418665,40.0,1.7850739999999945
26,26,3418665,39.0625,1.8121415000000098
27,27,3418665,38.16793893129771,1.8056562999999954
28,28,3418665,37.3134328358209,1.6833706000000035
29,29,3418665,36.496350364963504,1.6991888000000017
30,30,3418665,35.714285714285715,2.2084018000000043
31,31,3418665,34.96503496503497,1.9038228000000004
32,32,3418665,34.24657534246575,1.6232126999999963
33,33,3418665,33.55704697986577,1.8261236999999966
34,34,3418665,32.89473684210525,1.708898099999999
35,35,3418665,32.258064516129025,2.041024499999992
36,36,3418665,31.64556962025316,1.8263584000000037
37,37,3418665,31.055900621118003,1.9705795000000137
38,38,3418665,30.487804878048774,1.9657927999999742
39,39,3418665,29.940119760479035,1.8659434000000203
40,40,3418665,29.411764705882344,1.7388981999999942
41,41,3418665,28.901734104046238,1.853061700000012
42,42,3418665,28.409090909090907,1.9093071000000066
43,43,3418665,27.932960893854744,1.830202700000001
44,44,3418665,27.47252747252747,1.632578599999988
45,45,3418665,27.027027027027028,1.6987106999999924
46,46,3418665,26.595744680851062,1.949193699999995
47,47,3418665,26.17801047120419,1.857420899999994
48,48,3418665,25.773195876288657,1.7932051999999885
49,49,3418665,25.380710659898476,1.889056399999987
50,50,3418665,25.0,1.6978849999999852
51,51,3418665,24.630541871921185,1.6704180000000122
52,52,3418665,24.271844660194176,1.6856361000000106
53,53,3418665,23.923444976076556,1.9696863000000064
54,54,3418665,23.58490566037736,1.723240799999985
55,55,3418665,23.255813953488374,1.7493148000000076
56,56,3418665,22.93577981651376,1.8526639000000102
57,57,3418665,22.62443438914027,1.4780569999999784
58,58,3418665,22.32142857142857,2.019654100000025
59,59,3418665,22.02643171806167,1.6801379999999995
60,60,3418665,21.739130434782602,1.6963106000000039
61,61,3418665,21.459227467811154,1.9269673000000012
62,62,3418665,21.186440677966097,1.8704841999999928
63,63,3418665,20.920502092050206,1.7913658999999882
64,64,3418665,20.661157024793383,1.9698822000000007
65,65,3418665,20.408163265306115,1.722669400000001
66,66,3418665,20.16129032258064,1.7191624999999817
67,67,3418665,19.920318725099595,1.9045464000000152
68,68,3418665,19.685039370078734,1.5773638999999946
69,69,3418665,19.455252918287933,2.091027299999979
70,70,3418665,19.230769230769226,1.747788799999995
71,71,3418665,19.01140684410646,1.9516321000000119
72,72,3418665,18.796992481203006,1.8501152999999988
73,73,3418665,18.587360594795538,1.5777536999999882
74,74,3418665,18.38235294117647,1.654741200000018
75,75,3418665,18.181818181818183,1.7875826000000075
76,76,3418665,17.98561151079137,1.7944816000000117
77,77,3418665,17.793594306049826,1.8396996000000172
78,78,3418665,17.605633802816904,1.7698594999999955
79,79,3418665,17.421602787456447,1.9456113000000244
80,80,3418665,17.24137931034483,1.8681834999999865
81,81,3418665,17.064846416382256,2.046513999999945
82,82,3418665,16.891891891891895,1.9021437999999762
83,83,3418665,16.722408026755858,1.917839200000003
84,84,3418665,16.556291390728482,2.1449698000000126
85,85,3418665,16.393442622950825,2.0430261999999857
86,86,3418665,16.23376623376624,1.6522952999999916
87,87,3418665,16.077170418006435,1.793209499999989
88,88,3418665,15.923566878980898,1.8109810000000266
89,89,3418665,15.772870662460573,1.7535316000000307
90,90,3418665,15.625000000000005,1.67540919999999
91,91,3418665,15.479876160990719,1.9966914999999972
92,92,3418665,15.337423312883441,1.7811120000000074
93,93,3418665,15.197568389057757,1.9664376999999718
94,94,3418665,15.060240963855428,1.7930041000000188
95,95,3418665,14.925373134328362,1.999575400000026
96,96,3418665,14.792899408284027,1.732854400000008
97,97,3418665,14.662756598240474,1.854735699999992
98,98,3418665,14.534883720930237,2.075179100000014
99,99,3418665,14.409221902017295,1.6848962999999912
100,100,3418665,14.28571428571429,1.5891855000000419
101,101,3418665,14.1643059490085,1.7456339000000298
102,102,3418665,14.04494382022472,1.7616386999999918
103,103,3418665,13.92757660167131,1.8629097999999544
104,104,3418665,13.812154696132596,1.4301327000000015
105,105,3418665,13.698630136986301,2.073850400000026
106,106,3418665,13.586956521739129,2.2458871000000045
107,107,3418665,13.477088948787062,1.6880588999999873
108,108,3418665,13.36898395721925,1.8424436999999898
109,109,3418665,13.262599469496019,1.9729107999999655
110,110,3418665,13.157894736842103,1.6591123000000039
111,111,3418665,13.054830287206265,1.6522272999999927
112,112,3418665,12.953367875647668,1.7864868999999999
