,Iteration,Best_SP,Temperature,TimeElapsed
0,0,3841837,1.0,0.0
1,1,3809014,0.9994003597841296,1.7627856000000008
2,2,3784098,0.9988014382740711,1.7331114999999997
3,3,3782228,0.9982032341784787,1.6037093000000056
4,4,3782228,0.997605746209098,1.9042649999999952
5,5,3782228,0.9970089730807576,1.7413133999999957
6,6,3782228,0.996412913511359,1.7619671000000068
7,7,3782228,0.995817566221868,2.2915423999999973
8,8,3782228,0.9952229299363057,2.2459276999999958
9,9,3782228,0.1,1.9795646000000033
10,10,3776623,0.09999400035997841,1.8660502999999977
11,11,3776208,0.09998800143982724,1.6853538999999955
12,12,3774545,0.09998200323941692,1.4983958000000115
13,13,3772475,0.09997600575861794,1.7425541000000067
14,14,3772475,0.09997000899730082,1.2569382000000076
15,15,3772475,0.09996401295533609,1.3581456000000003
16,16,3772475,0.09995801763259432,1.8105209000000002
17,17,3753221,0.09995202302894611,1.9130037999999985
18,18,3748411,0.0999460291442621,2.090500800000001
19,19,3731151,0.09994003597841294,2.2614717999999954
20,20,3728265,0.09993404353126936,1.824202200000002
21,21,3728265,0.09992805180270206,1.8848692999999912
22,22,3728265,0.09992206079258178,1.6206609000000043
23,23,3724125,0.09991607050077934,1.3027289999999994
24,24,3724125,0.09991008092716556,1.2252108999999933
25,25,3724125,0.09990409207161127,1.9524965999999893
26,26,3724125,0.09989810393398735,1.4807168000000104
27,27,3711530,0.09989211651416473,1.7317476999999997
28,28,3696582,0.09988612981201433,1.5341524000000106
29,29,3696582,0.09988014382740713,1.6989007999999899
30,30,3696582,0.09987415856021414,1.745890299999985
31,31,3696582,0.09986817401030641,1.8514166999999873
32,32,3696582,0.099862190177555,1.4759751999999935
33,33,3696582,0.099856207061831,1.4826558000000034
34,34,3696582,0.1,1.5364318999999966
35,35,3686050,0.09999400035997841,1.6700058999999783
36,36,3686050,0.09998800143982724,1.605245300000007
37,37,3686047,0.09998200323941692,1.7951685999999825
38,38,3686047,0.09997600575861794,1.4448322000000076
39,39,3686047,0.09997000899730082,1.7164444000000003
40,40,3686047,0.09996401295533609,1.664084900000006
41,41,3686047,0.09995801763259432,1.5585043000000098
42,42,3686047,0.09995202302894611,1.8558787000000052
43,43,3678749,0.0999460291442621,1.776452599999999
44,44,3672869,0.09994003597841294,1.7797682000000066
45,45,3672869,0.09993404353126936,1.7491827999999998
46,46,3672869,0.09992805180270206,1.8082878000000164
47,47,3672869,0.09992206079258178,1.7771460999999817
48,48,3661567,0.09991607050077934,1.5902130999999997
49,49,3661567,0.09991008092716556,1.5289739999999767
50,50,3657922,0.09990409207161127,1.5683976999999913
51,51,3648259,0.09989810393398735,1.7011751999999944
52,52,3647489,0.09989211651416473,1.5283325999999988
53,53,3636215,0.09988612981201433,1.2710837999999853
54,54,3634475,0.09988014382740713,1.6678449000000057
55,55,3627697,0.09987415856021414,2.075912499999987
56,56,3626197,0.09986817401030641,1.3581063000000029
57,57,3624097,0.099862190177555,1.5596409999999992
58,58,3624097,0.099856207061831,1.5740511999999853
59,59,3617092,0.09985022466300553,1.9042831999999805
60,60,3617092,0.09984424298094975,1.6833912000000169
61,61,3615097,0.09983826201553488,1.7009781999999802
62,62,3612632,0.09983228176663211,1.6832892999999842
63,63,3608549,0.09982630223411271,1.5761356000000148
64,64,3608549,0.09982032341784794,1.3864173999999991
65,65,3608549,0.09981434531770914,1.7965282000000116
66,66,3605997,0.09980836793356763,1.7321163999999953
67,67,3603567,0.0998023912652948,1.8020883000000083
68,68,3603430,0.09979641531276205,1.889489999999995
69,69,3603430,0.09979044007584083,1.6083587999999907
70,70,3603430,0.0997844655544026,1.6070198000000175
71,71,3603430,0.09977849174831883,1.6206441999999868
72,72,3596305,0.0997725186574611,1.537395700000019
73,73,3596305,0.09976654628170092,1.5492479999999773
74,74,3596305,0.09976057462090993,1.5931624000000113
75,75,3596305,0.09975460367495971,1.6669971999999973
76,76,3593503,0.09974863344372194,1.8881403999999975
77,77,3593503,0.09974266392706828,1.861459400000001
78,78,3577683,0.09973669512487046,1.8519645999999739
79,79,3577683,0.09973072703700021,1.700145799999973
80,80,3565083,0.09972475966332932,1.5205894000000058
81,81,3565083,0.09971879300372959,1.368115199999977
82,82,3565083,0.09971282705807286,1.6864082999999823
83,83,3565083,0.09970686182623098,1.6675098000000048
84,84,3562423,0.09970089730807588,1.6845290999999634
85,85,3562423,0.09969493350347947,1.7625079000000028
86,86,3543348,0.0996889704123137,1.9657032000000072
87,87,3543348,0.09968300803445057,1.6849181000000044
88,88,3543348,0.0996770463697621,1.7009155000000078
89,89,3543340,0.09967108541812034,1.0136067000000253
90,90,3539402,0.09966512517939737,1.4523801000000276
91,91,3536402,0.09965916565346529,2.148388799999964
92,92,3536400,0.09965320684019625,1.6234640999999783
93,93,3511255,0.09964724873946244,1.7786272000000167
94,94,3511255,0.09964129135113604,1.1842120000000023
95,95,3502228,0.0996353346750893,1.4019745000000512
96,96,3500828,0.09962937871119448,1.4952686000000313
97,97,3500828,0.09962342345932389,1.850121300000012
98,98,3500828,0.09961746891934983,1.6829808999999614
99,99,3499908,0.09961151509114467,2.0441251000000307
100,100,3499908,0.09960556197458079,1.7455788999999982
101,101,3486886,0.09959960956953061,1.9001455999999735
102,102,3481548,0.09959365787586659,1.7794719999999984
103,103,3481548,0.09958770689346119,1.6721103000000426
104,104,3481548,0.09958175662218693,1.6218296000000123
105,105,3481548,0.09957580706191635,1.1695032000000083
106,106,3481548,0.09956985821252202,1.66962460000002
107,107,3472832,0.09956391007387654,1.682552199999975
