,Iteration,Best_SP,Temperature,TimeElapsed
0,0,201240,,0.0
1,1,201240,,0.009120200000000134
2,2,201240,,0.005133699999999797
3,3,201240,,0.006230100000000016
4,4,201240,,0.009429299999999863
5,5,197520,,0.005748499999999934
6,6,197520,,0.006404700000000041
7,7,195660,,0.012817899999999938
8,8,190860,,0.006544899999999965
9,9,190860,,0.026915699999999987
10,10,190860,,0.006352899999999995
11,11,190860,,0.008180000000000076
12,12,186060,,0.02506929999999996
13,13,181260,,0.008793199999999946
14,14,181260,,0.03888009999999986
15,15,181260,,0.006245000000000056
16,16,181260,,0.008022500000000043
17,17,174540,,0.02437899999999993
18,18,174540,,0.0218780999999999
19,19,174540,,0.024597199999999875
20,20,174540,,0.007189200000000007
21,21,169740,,0.0054762999999999895
22,22,169740,,0.022656499999999857
23,23,169740,,0.00679059999999998
24,24,169740,,0.006702900000000067
25,25,160140,,0.00639690000000015
26,26,150540,,0.04187439999999998
27,27,150540,,0.005953299999999828
28,28,150540,,0.0052704000000001194
29,29,150540,,0.021880400000000133
30,30,150540,,0.006458599999999981
31,31,150540,,0.022742999999999958
32,32,150540,,0.006382099999999946
33,33,150540,,0.0071774000000002225
34,34,150540,,0.006736499999999701
35,35,150540,,0.02570859999999975
36,36,150540,,0.0420929000000001
37,37,150540,,0.006130500000000261
38,38,150540,,0.022312200000000004
39,39,150540,,0.048513899999999666
40,40,150540,,0.025456200000000262
41,41,150540,,0.02153640000000001
42,42,150540,,0.025939000000000156
43,43,150540,,0.022426200000000396
44,44,150540,,0.00711649999999997
45,45,150540,,0.025308499999999956
46,46,150540,,0.006289699999999954
47,47,150540,,0.022943700000000344
48,48,150540,,0.007627100000000109
49,49,150540,,0.02561200000000019
50,50,150540,,0.02331559999999966
51,51,150540,,0.006904699999999764
52,52,150540,,0.02319049999999967
53,53,150540,,0.008841700000000063
54,54,145740,,0.005731299999999884
55,55,145740,,0.0055346999999996704
56,56,145740,,0.0220754000000003
57,57,140940,,0.007953800000000122
58,58,140940,,0.038950599999999724
59,59,140940,,0.005494799999999689
60,60,140940,,0.02564359999999999
61,61,140940,,0.007269799999999993
62,62,140940,,0.006458700000000039
63,63,140940,,0.024052399999999974
64,64,140940,,0.0060499000000002745
65,65,140940,,0.007285200000000103
66,66,136140,,0.02197629999999995
67,67,136140,,0.0074830000000001284
68,68,136140,,0.021909599999999863
69,69,136140,,0.006430100000000216
70,70,136140,,0.005836800000000419
71,71,136140,,0.007337800000000172
72,72,136140,,0.0065907000000002824
73,73,136140,,0.02440980000000037
74,74,136140,,0.024224900000000105
75,75,136140,,0.006952099999999906
76,76,136140,,0.0066429999999999545
77,77,136140,,0.006725800000000337
78,78,136140,,0.006321300000000196
79,79,136140,,0.007032799999999728
80,80,136140,,0.006312299999999826
81,81,136140,,0.022506799999999938
82,82,136140,,0.007052999999999976
83,83,134280,,0.023050299999999968
84,84,134280,,0.025428999999999924
85,85,134280,,0.022609800000000124
86,86,134280,,0.006651900000000044
87,87,134280,,0.021811299999999978
88,88,134280,,0.006745299999999954
89,89,134280,,0.02365610000000018
90,90,134280,,0.006285600000000002
91,91,134280,,0.021599399999999935
92,92,134280,,0.008586300000000158
93,93,134280,,0.021613000000000326
94,94,134280,,0.0077153000000000915
95,95,134280,,0.021293200000000123
96,96,134280,,0.006333000000000144
97,97,134280,,0.0058251000000000275
98,98,134280,,0.022663300000000053
99,99,134280,,0.005749200000000343
100,100,134280,,0.006415099999999896
101,101,134280,,0.022594099999999617
102,102,134280,,0.0069637999999998534
103,103,134280,,0.0051152000000000974
104,104,134280,,0.04538120000000001
105,105,134280,,0.02432590000000001
106,106,134280,,0.044545100000000115
107,107,134280,,0.042854999999999865
108,108,134280,,0.0066597999999999935
109,109,134280,,0.00816619999999979
110,110,134280,,0.005766299999999891
111,111,134280,,0.006121000000000265
112,112,134280,,0.04193969999999991
113,113,134280,,0.00612989999999991
114,114,134280,,0.006492000000000164
115,115,134280,,0.006788100000000075
116,116,134280,,0.006067900000000126
117,117,134280,,0.00596489999999994
118,118,134280,,0.022148099999999893
119,119,134280,,0.006228800000000145
120,120,134280,,0.023014000000000312
121,121,134280,,0.006171999999999844
122,122,134280,,0.006750599999999718
123,123,134280,,0.00669519999999979
124,124,134280,,0.006421599999999472
125,125,134280,,0.007665000000000255
126,126,134280,,0.006467200000000339
127,127,134280,,0.02196610000000021
128,128,134280,,0.007678600000000202
129,129,134280,,0.022473200000000304
130,130,134280,,0.02651480000000017
131,131,134280,,0.005720400000000403
132,132,134280,,0.022528600000000232
133,133,134280,,0.022857899999999987
134,134,134280,,0.007865600000000583
135,135,134280,,0.005553700000000106
136,136,134280,,0.0063003000000003695
137,137,134280,,0.022183400000000297
138,138,134280,,0.005981200000000797
139,139,134280,,0.023633200000000798
140,140,134280,,0.007717599999999436
141,141,134280,,0.0058981999999998536
142,142,134280,,0.0066965999999997194
143,143,134280,,0.0071587000000006284
144,144,134280,,0.022609600000000007
145,145,134280,,0.0075112999999999985
146,146,134280,,0.0056405999999995515
147,147,134280,,0.021357400000000304
148,148,134280,,0.006201400000000135
149,149,134280,,0.006250099999999925
150,150,134280,,0.02217090000000077
151,151,134280,,0.00613129999999984
152,152,134280,,0.006208800000000458
153,153,134280,,0.024364799999999853
154,154,134280,,0.006247400000000347
155,155,134280,,0.006201400000000135
156,156,134280,,0.02219570000000015
157,157,134280,,0.007124499999999756
158,158,134280,,0.02240209999999987
159,159,134280,,0.005461200000000055
160,160,134280,,0.006303499999999573
161,161,134280,,0.02621839999999942
